rating,review
6,"""""Everything is unprecedented until it happens for the first time.""Sully (Tom Hanks)On January 15, 2009, a decidedly un-cinematic hero, Captain Chesley""Sully"" Sullenberger of US Airways, landed 155 souls into the HudsonRiver, safely, as he struggled with a plane crippled by birds in bothengines. As we all know, the passengers and crew survived, so what doesdirector Clint Eastwood bring to the big screen that could engage anaudience knowing the blessed outcome? First, he brings Tom Hanks, not unknown to portray low-key heroes (seeBridge of Spies and Captain Phillips most recently), whose understatedcourage seems accurately to reflect the Sully we have come to know andsee displayed with the credits. Second, Eastwood crafts one of the mostbelievable crash and rescue scenes I have ever encountered.As in the authentic Hanks interpretation of the quiet Sully, thedisaster is compelling and understated. No swelling or morbid musictakes away from the terror. Because the simulations at the NationalTransportation Safety Board hearings were necessary to prove fault, thecontrast between the NTSB creations and Eastwood's rendition of thereal incident is starkly evocative of the film's attempt to get it allright.Even the NTSB's grilling Sully at the hearings, while it unsettlinglytracks his alleged errors in the ""Miracle on the Hudson,"" has alow-profile approach. It confirms Eastwood's and writer ToddKomarnicki's affirmation that everyone in the film is doing his and herjob, from pilots, investigators, and rescuers to director and writer.Even Sully's wife, Lorraine (Laura Linney), in the ever-annoyingwife-in-waiting-role, is stronger and more balanced than the stockcharacter. Although the passengers are not always first-rate actors,they do seem sincere. However, it is Hanks's film with his stolid, nofrills acting, followed by a supportive Aaron Eckhart as his co-pilot,Jeff Skiles.But then, that powerful under-acting is emblematic of the directorhimself, a lean craftsman who wastes no time in production and has notime for puffery. Although not Unforgiven, Sully is one of Eastwood'sbest and one of the best films of the year.After seeing this film, you may have a heightened respect even forflight attendants, who evidence a more sincere bravery than summerblockbuster heroes could ever do as that crew directs the passengers:""Brace. Brace. Brace. Head down, stay down!"" If you see Sully in IMAX,your head will be up in the clouds and your heart too."""
9,"""If there's one thing you can count on Clint Eastwood doing well, it'sdirecting an emotionally heartfelt story. Sully continues Eastwood'ssuccess by giving us probably the most human drama of 2016.""The miracle on the Hudson"" is the subject of this Eastwood drama,starring Tom Hanks, Aaron Eckhart, and Laura Linney. There will beplenty of obstacles with any film based on a true story, but with afilm based on an event that lasted a mere 208 seconds, it's extradifficult. But Eastwood manages to pull a great story out of theseunbelievable events that comes in just under 2 hours. Of course, theflight itself isn't the only hurdle that captain Sully went through, ashe dealt with reporters, investigators, and the National TransportationSafety Board determined to diminish his heroic efforts.Who could possibly be better to play Captain Sully than the great TomHanks. Having wonderfully played another ""controversial"" captain backin 2013 as Captain Phillips, there was no doubt he could pull off asomewhat similar role. Boy does Hanks deliver. He always effortlesslypulls out the big speeches and powerful dialogue well, but I often findhis more subtle acting to be more impressive. It's the moments whenSully is reacting to the big moments with only his facial expressionsand body languages that give me goosebumps. Not many actors are able tobring me to the verge of tears just by a facial expression, but Hanksis one of them.Eastwood and his editors also deserve tons of credit for their workhere. Much like Hanks' subtle acting, I love when Eastwood holds backthe bombastic music (that can sometimes take you out of a story likethis) and lets the audience choose how to feel by watching gorgeouscinematography and poignant acting and directing. This may beEastwood's best directorial work since Million Dollar Baby. Heunderstood exactly the moments to use and not music in order to pullthe emotion out of his audience.Most of all, this film is a great display of the power of the humanspirit. Everything about this film is grounded with humanity. No oneseems fake. So often Hollywood is flooded with over-the-top filmmakingthat can easily dilute the power of the film's message. Sully knowsexactly what it's going for, and it does it to near perfection.+Eastwood back at the top+Hanks subtle acting+Power of human spirit91/100"""
7,"""Greetings again from the darkness. Society has a tendency to go toextremes  hero worship for those who probably don't deserve it andcharacter assassination for those who have the gall to be less thanperfect. Chesley ""Sully"" Sullenberger has experienced both. On January15, 2009, Sully made the decision to land the crippled aircraft of USAirways flight 1549 right into a river  an event immediately labeled""Miracle on the Hudson"".Surprisingly, this is the first film collaboration for Tom Hanks anddirector Clint Eastwood. Both have cinematic experience with true lifestories and real people: Hanks most recently in Captain Phillips andBridge of Spies; and Clint with American Sniper and J. Edgar. This oneis the perfect fit as Hanks takes on a good man who takes pride indoing his job, and Clint brings to life a story that showcases the bestof human nature.Tom Komanicki adapted the screenplay from the book ""Highest Duty"",co-written by Sully and Jeffrey Zaslow. Much of the attention is givento the doubts and uncertainty Sully experienced during the NTSB review.The scrutiny of his work by the committee (played here by theultra-serious Mike O'Malley, Anna Gunn, Jamey Sheridan) left his careerand reputation dangling, inspiring nightmares that are much worse thanyours and mine.Certainly we are in awe of what Sully pulled off that morning, but asmovie goers, we are anxious to see the plane crash/splash/landing.Clint comes through in breath-taking fashion. While it lacks thehysterics and drama of the upside-down plane in Flight, thisre-creation is so realistic that we nearly obey the flight attendantsrepeated instructions of ""Heads down. Stay down"". Even the cockpitchatter, passenger evacuation, and first responder's (many of whom arereal life folks, not actors) activities are played in matter-of-factmanner  more people just doing their job. We shiver knowing the icyHudson River water is 36 degrees, and we feel Sully's anxiety as hedesperately tries to get a final count  a count that he prays will hit155.Aaron Eckhart plays co-pilot Jeff Skiles and has a couple of memorablescenes, and Laura Linney embraces the thankless role of telephone wifeof Sully during the aftermath and hearings. We get a glimpse of Sully'sbackground with flashbacks to his flight lessons at a Denison Texasprivate airfield, as well as a portion of his military service. Hanksis the perfect choice for a role that would have suited James Stewartjust fine if it were the 1940's.The conflict here comes from the NTSB inquiry. Backed by computersimulators that show the plane could have coasted back to LaGuardia, weget the distinct feeling that the committee's goal is finding humanerror  naming a scapegoat (other than Canadian geese) for their ""lost""plane. It's Sully who reminds us that the committee is simply doingtheir job  just as he was, Skiles was, the Flight Attendants were, andthe first responders were.This is technically expert filmmaking. We know the ending, but areglued to the screen. Frequent Eastwood collaborator Tom Stern handlesthe cinematography, and like the acting and story-telling, the camerawork avoids any excess or over-dramatization. The film provides one ofthe best examples ever of the duality of hero worship and intensescrutiny, and how a person can be a hero by simply doing their job. Theclosing credits show clips of the flight's reunion and every survivorwould agree that the best among us allowed a continuation of life something that could have gone to the other extreme."""
9,"""I am one of the lucky few who had the opportunity to get an advancepremier screening for Sully at AMC IMAX Somerville, Boston ten daysprior to the release.This is easily the best movie of 2016. I have been following the Jan 15controlled ditching incident of US Airways Flight 1549 case for awhile. Everything about this case was covered on TV and the hearingsare uploaded on YouTube. I have watched nearly 5 hours of the footageon YouTube and I was skeptical before the film whether if it offers usanything new.I was mind-blown; the movie is truly an untold story. The drama, actionand intensity is all along. It left me and many audience in tears. Itfeels realistic in the IMAX edition with great sound effectssurrounding you. The screenplay of this film is unique, Client Eastwoodis an outstanding director has outdone himself with this gripping tale.Tom hanks has been the heart of the film. The acting was top notch. Iam sure his meetings with Chesley SUllenberger must have contributedsomething in the acting department. Aaron Eckhart as Jeff Skiles alsodid a great job with his subtle humor and great screen presence. Hemakes you wanting more of the character.Coming back to the facts, Client Eastwood has left what we all knowbecause of the footages shown in YouTube and the hearings. Overall, great performances, superb screenplay, neat editing andfabulous visual and audio effects make this film easily the best in2016.Above all, this one has a heart!9/10"""
8,"""First, the film itself: * technically perfect. What Clint Eastwood shares with Ron Howard isthat they are both actors-turned-directors who consistently maketechnically perfect films. (Howard, on the other hand, was never voted""sexiest man alive"" in his acting career. Just a trivia point...) * what they also share is a penchant for taking larger-than-life peopleand literally making them much-larger-than-life on the big screen.After this, you will feel like you have known Sully as long as hisfamily.* in the presence of such directorial talent, it is easy to overlookthe casting choices. In this case, I suggest that Hanks may not get thecredit he is due. This may be the best performance of his career. Hesets a deer-in-the-headlights tone early; and by mid-movie, the viewerstarts to feel as paranoid as his character. Amazing performance.* recommended for multiple reasons, not the least of which is that itis one of the best films of the year.And now the esoteric part of the review: * have a friend, a university professor, who once explained to me, atsome length, that the #1 most ""unnatural"" event in life is an MRI scan.You are placed immobile in a life-size cassette and then inserted intoan appliance that bombards you with EM waves while deafening you withnoise unlike you have ever heard before. Like a baby, you arecompletely dependent on outside help, and, if the machine failed, it isfar from certain you could escape on your own. Yet this is a part ofour culture, and the common wisdom is we should be grateful the techexists in the first place.* the second most un-natural event in our culture? Air travel, he said.(You can do the comparisons on your own.) * the kicker is that my friend ended his dissertation by mentioningthere are ""standing"" MRIs which do the same job and are morecomfortable but expensive, so many hospitals and clinics avoid them. Weare, after all, a society that is all about money.* watching the people leave the plane in the film I remembered myfriend's strong views. A century ago, air travel was a very differentexperience. If you think about it, as is the case with the MRI, it isreally all about the money."""
1,"""It was an aviation event the likes of which few, if any, in the worldcould ever recall happening. On January 15, 2009, US Airways Flight1549, bound from New York's LaGuardia International Airport toCharlotte, North Carolina, was hit by a large flock of birds justthirty seconds after takeoff. The bird strike disabled and damaged bothof the jet's engines; and though it managed to keep flight for anotherthree minutes, there was no way it could return to LaGuardia, or makeany attempts at an emergency landing at either JFK, Newark, or nearbyTeterboro Airport in New Jersey. The flight's captain, Chesley ""Sully""Sullenberger, made the split-second decision to ditch the aircraft inthe Hudson River, rather than risk flying into any buildings.Incredibly, the aircraft, though damaged by the bird strikes and thewater landing, stayed afloat long enough for rescue personnel to savethe lives of all 155 people on that flight, an operation that took onlytwenty-four minutes in all. The incident has been into the highlyengaging cinematic docudrama SULLY.Based on the book ""Highest Duty"" by Sullenberger and Jeffrey Zaslow,the film, as directed by Clint Eastwood (who some time back traded hisacting career for one focused solely on direction, though he had beendoing both on and off since 1971's PLAY MISTY FOR ME), focuses in onthe pressures that Sullenberger, excellently played by Tom Hanks (asalways), underwent in the months following the crash. The mediaattention was enormous, but it was also highly scrutinizing as well.And in those months, Sullenberger and his co-pilot Jeffrey Skiles(Aaron Eckhart) went before a seemingly endless battery of hearingsconducted by both the Federal Aviation Administration and the NationalTranspiration Safety Board as to whether Sullenberger's judgment onthat day was sound, given that flight simulations supposedly had shownthat the plane could have accomplished either one of the four scenarios(return to LaGuardia; landing at JFK; Newark; or Teterboro) whileachieving the same result that Hanks and Eckhart had achieved. But inthe testimony the two men give, Hanks argues that the basic humanelement was totally left out of those scenarios. From the moment thebird strikes happened until US Airways 1549 ditched into the HudsonRiver, there were only 208 seconds (three minutes and twenty-eightseconds); and in that time, trying to fly the disabled craft onto a dryrunway was totally unrealistic and could have resulted in the deaths ofall onboard and even more on the ground.Since restaging the actual saga of Flight 1549 would be a matter ofgetting all the details right, helped out by Sullenberger's own bookand his four decades worth of flight experience, it was really up toEastwood's direction, and Hanks' ability to underplay, to get into themindset of ""Sully"" as he dealt with all the media and governmentattention that he, his wife (Laura Linney), and Eckhart went through inthose months following what the media had deemed the ""Miracle On TheHudson."" Hanks deftly shows the struggles that Sullenberger faced, viaflashbacks to that cold wintry day in the skies over the Big Apple,with respect to what he could have done differently (or what both themedia and the government investigators think he could have donedifferently). But at no time during the actual FAA/NTSB hearings didSully ever lose his cool and his composure. He merely pointed out thatthe human element needed to be taken into consideration, not just whatsome alternate computer simulation said could have been done, tofacilitate the saving of everyone on Flight 1549; and the playback ofthe flight voice recorders clears up any questions as to the judgmentand veracity behind Sully's decisions.That this saga, which, like 1995's APOLLO 13 (which also starred Hanks)and 2015's THE 33, had a hugely successful outcome, should have beenmade into a movie probably shouldn't surprise anyone. But just asimportantly, and also just like those films, SULLY, thanks to Hanks'usual great Everyman portrayal of Sullenberger, the kind of heroism ondisplay is that of common people, including Hanks, his crew, his wife,the passengers, and the rescue personnel of New York City, and not justsome comic-book, super-patriotic depiction of heroism that too much ofHollywood has been about in the 21st century. Nothing about the saga ofUS Airways Flight 1549, or the resulting Miracle On The Hudson, wascut-and-dried; it was reality, and Eastwood and Hanks should both becommended for making it that way, and successfully so."""
8,"""There's obviously a lot of research and accuracy of facts that need tobe considered when making a film out of a real life incident. ClintEastwood once again shows he knows what he's doing when it comes tositting in the directors chair.January 15th, 2009, Captain Chesley ""Sully"" Sullenberger landed anAirbus A320 in the Hudson River after it suffered dual engine failuresfrom a bird strike. What he endures following the incident is ascathing investigation team hell bent on showing him he made a mistakeand he could have in fact turned the plane around and landed it safelyon one of the many runways available to him in New York.Tom Hanks, as always, plays a solid role and character and a verybelievable Aircraft pilot, although i felt at times he could have shownjust a little more emotion in certain spots. Aaron Eckhart and AnnaGunn made good additions to the cast fitting into their roles nicely.The film itself, jumps all over the place, it starts straight away witha nightmare from our hero. we see the timeline of events is post-incident, then eventually goes back to the beginning of the flightbefore Sully even steps foot on the plane. I wasn't expecting the filmto be structured this way and found it kind of annoying at first, butit doesn't at all affect the pacing.Clocking in at just an hour and a half, Sully is a good hero flickdepicting the events of January 15th, 2009, because we learn everythingwe need to know in just that short space of time. Nothing feelsoverdone or over dramatized and I walked out of the cinema feelingthoroughly satisfied with what Eastwood managed to do with this story.Really good stuff!Fox."""
8,"""Running at a lean and spry 96min, Clint Eastwood's Sully isn't so mucha clinical bio-pic in the traditional sense, but an absorbing showcaseof a man's extraordinary professionalism in the face of danger. On Thursday, January 15th, 2009, the world witnessed the ""Miracle onthe Hudson"" when Captain Chesley Sullenburger (Tom Hanks) glided hisdisabled plane onto the frigid waters of the Hudson River, saving thelives of all 155 aboard. However, even as Sully was being heralded bythe public and the media for his unprecedented feat of aviation skill,an investigation was unfolding that threatened to destroy hisreputation and his career.Tom Hanks underplays Sullenburger but in so doing he brings out themulti-layered human qualities in the man. This is about a man who has42 years of flying experience and he knows the aircraft like it is theback of his hand. Here is a man who does his job to the best of hisabilities and he does it well. He will tell you he is not a hero butsimply a man who is just doing his job. From a man with no time hebecomes the man of all time. However, he is shaken to his very corewhen the doubts start to set in as the NTSB rips apart his heroicmaneuver. Is Sullenburger a hero or a fraud? The story rests on Tom Hank's abled shoulders who has built areputation playing understated and reluctant heroes in Bridge of Spiesand Captain Phillips. On first look Hank didn't seem to put on hisacting hat, but after a night of rumination his character continues tostay with me. His sullenly insular and taciturn manner displays a fullyfunctioning problem-solver's mind, calculating the probability ofsurvival in that instance when the birds hit the plane engines. Thankgoodness he trusts his instincts rather than the computer. Hank isn't the only star in the story. At 86, Eastwood has meticulouslycrafted an honest story we thought we already knew into a tense dramawith little bell and whistle. His unfazed skill in storytelling isassured and Sully definitely belongs to the top tier of his pantheon ofgood movies that include Unforgiven and Million Dollar Baby. InEastwood's hands, the film flies above the usual biopic tropes and itfeels like a homage to a modest man who rose to an extraordinaryoccasion and a salute to professionalism. It is a wonder the storydoesn't carry an ounce of jingoism and it is a superb amalgam of theloud and the silence and the human elements of a near air disaster. The final star is definitely the plane crash. For a home-theatreenthusiast, the visuals and sonics are a feast for the senses. We getto see the crash and its aftermath from every physical and emotionalangle. I can't remember the last time I see a reenactment of a planecrash so visceral and real. This is the closest you will get toexperience one without actually being in one. I didn't care much for Eastwood's last directorial effort AmericanSniper because it carried too many skull-numbing and blatantembellishments, but with Sully he has redeemed himself. This may feellike a straight-forward story but the use of Rashomon-resque plotmanipulation transcends the film above the usual biopics that you wouldforget after a night's sleep. I didn't forget this one today."""
8,"""What makes Sully exceptional is that Clint Eastwood lets the story tellitself.Specifically real with the water landing itself. Nothing is reallytaken out of content in the way Hollywood thinks and usually takes it.The event was dramatic enough without anything needed to be added toenhance that.Tom Hanks is a fine actor. Not the greatest performance, but it wascool that Hanks and Eastwood did a movie together.Sully gives us an in depth look at the miracle of the Hudson. Thoughthe title does state that the we focus on Capt. Chesley ""Sully""Sullenberger who did an amazing water landing on the Hudson in Januaryof 2009, and got his 15 mins because of it, Eastwood shows us that evenone man can see things in many different ways, as Eastwood goes throughall those angles.I love Aaron Eckhart as Jeff Skiles, the co pilot who supported greatlythe pilots decision. He was a great supporting actor for Tom Hanks.In the end this movie is about heroes, not just Sully but everyoneinvolved in the US Airways Flight 1549 water landing. From the welltrained flight attendances to the rescue police on the water fairy. Itsabout the 155 passengers and the their accounts of what happen. It'sabout how sometimes we forget how to treat a hero, but true heroes willalways shine though, and Eastwood tells the story as real as possibleknowing that he has an incredible story here."""
9,"""This is based on a true incident from a few years ago, where a veteranpilot actually was able to land his plane in the Hudson river in NYCand with all on board surviving. It is a terrifically detailed but slowmoving work by 86 year old living legend Clint Eastwood starring theJimmy Stewart/everyman of our era, in two time - should have been threetime -Oscar winner Tom Hanks as the quietly unheroic hero pilot. (Youwere robbed of the statuette in 2000 for ""Cast Away"", Tom. Who elsecould play opposite a volleyball for two hours and make it work?).I'm reminded of Eastwood's 2003 Academy Award winning ""Mystic River"" inthat he deliberately takes his time in adapting the book, as he doeshere as well. The script is a little odd, shifting back and forthbetween the events of the day itself and the hearing to decide whetherthe pilot and co-pilot were at fault for not heading to one of thenearby airports. This leads to a little awkwardness during the firstthird of the film, but then works out just fine. We see the big eventtwice - The epic landing of the jet is more than worth seeing in and ofitself.Aaron Eckhart, for once, gets to play a good guy, the co-pilot. Hownice to see Delphi Harrington, a much underused actress, as thepassenger in the wheelchair. She was marvelous as an intelligent,sophisticated woman in the long-gone soap opera Where the Heart Is andwas also believable as a trashy Southern murderess on Guiding Light andas a trashy Southern prostitute on All My Children. Here she plays asomewhat stereotypical New York Jewish mother. As a daughter she getsValerie Mehaffey of Desperate Housewives.Sully shows something rarely seen in movies these days, the simpleheroism of ordinary people, like the ferry boat crew members who rescuethe passengers from the plane.Be sure to stay for the credits, where you will see a reunion of manyof the actual passengers and crew from the flight. And as Columbo wouldsay, just one more thing - The last line of the movie is a hoot and gota big laugh! Highly recommended."""
