Class,From,Subject,Message
med," bed@intacc.uucp (Deb Waddington)"," INFO NEEDED: Gaucher's Disease"," I have a 42 yr old male friend, misdiagnosed as having  osteopporosis for two years, who recently found out that his  illness is the rare Gaucher's disease.   Gaucher's disease symptoms include: brittle bones (he lost 9   inches off his hieght); enlarged liver and spleen; internal  bleeding; and fatigue (all the time). The problem (in Type 1) is  attributed to a genetic mutation where there is a lack of the  enzyme glucocerebroside in macrophages so the cells swell up.  This will eventually cause death.  Enyzme replacement therapy has been successfully developed and  approved by the FDA in the last few years so that those patients  administered with this drug (called Ceredase) report a remarkable  improvement in their condition. Ceredase, which is manufactured  by biotech biggy company--Genzyme--costs the patient $380,000  per year. Gaucher's disease has justifyably been called  the most  expensive disease in the world .  NEED INFO: I have researched Gaucher's disease at the library but am relying  on netlanders to provide me with any additional information: **news, stories, reports **people you know with this disease **ideas, articles about Genzyme Corp, how to get a hold of    enough money to buy some, programs available to help with    costs. **Basically ANY HELP YOU CAN OFFER  Thanks so very much!  Deborah  NA NA NA NA NA NA NA NA"
med," mcdonald@aries.scs.uiuc.edu (J. D. McDonald)"," Re: jiggers","In article <78846@cup.portal.com> mmm@cup.portal.com (Mark Robert Thorson) writes:  >This wouldn't happen to be the same thing as chiggers, would it? >A truly awful parasitic affliction, as I understand it.  Tiny bugs >dig deeply into the skin, burying themselves.  Yuck!  They have these >things in Oklahoma.  Close. My mother comes from Gainesville Tex, right across the border. They claim to be the chigger capitol of the world, and I believe them. When I grew up in Fort Worth it was bad enough, but in Gainesville in the summer an attack was guaranteed.  Doug McDonald NA NA NA NA NA NA"
med," fulk@cs.rochester.edu (Mark Fulk)"," Re: Breech Baby Info Needed","In article <1993Apr5.151818.27409@trentu.ca> xtkmg@trentu.ca (Kate Gregory) writes: >In article <1993Apr3.161757.19612@cs.rochester.edu> fulk@cs.rochester.edu (Mark Fulk) writes: >> >>Another uncommon problem is maternal hemorrhage.  I don't remember the >>incidence, but it is something like 1 in 1,000 or 10,000 births.  It is hard >>to see how you could handle it at home, and you wouldn't have very much time. >> >>thing you might consider is that people's risk tradeoffs vary.  I consider >>a 1/1,000 risk of loss of a loved one to require considerable effort in >>the avoiding. > >Mark, you seem to be terrified of the birth process  That's ridiculous!  >and unable to >believe that women's bodies are actually designed to do it.  They aren't designed, they evolved.  And, much as it discomforts us, in humans a trouble-free birth process was sacrificed to increased brain and cranial size.  Wild animals have a much easier time with birth than humans do. Domestic horses and cows typically have a worse time.  To give you an idea: my family tree is complicated because a few of my pioneer great-great- grandfathers had several wives, and we never could figure out which wife had each child.  One might ask why this happened.  My great-great- grandfathers were, by the time they reached their forties, quite prosperous farmers.  Nonetheless, they lost several wives each to the rigors of childbirth; the graveyards in Spencer, Indiana, and Boswell, North Dakota, contain quite a few gravestones like  Ida, wf. of Jacob Liptrap, and baby, May 6, 1853.   >You wanted >to section all women carrying breech in case one in a hundred or a >thousand breech babies get hung up in second stage,  More like one in ten.  And the consequences can be devastating; I have direct experience of more than a dozen victims of a fouled-up breech birth.  >and now you want >all babies born in hospital based on a guess of how likely maternal >hemorrhage is and a false belief that it is fatal.  It isn't always fatal.  But it is often fatal, when it happens out of reach of adequate help.  More often, it permanently damages one's health.  Clearly women's bodies _evolved_ to give birth (I am no believer in divine design); however, evolution did not favor trouble-free births for humans.    >You have your kids where you want. You encourage your wife to >get six inch holes cut through her stomach muscles, expose herself >to anesthesia and infection, and whatever other  just in case  measures >you think are necessary.  My, aren't we wroth!  I haven't read a more outrageous straw man attack in months!  I can practically see your mouth foam.  We're statistically sophisticated enough to balance the risks.  Although I can't produce exact statistics 5 years after the last time we looked them up, rest assured that we balanced C-section risks against other risks. I wouldn't encourage my wife to have a Caesarean unless it was clearly indicated; on the other hand, I am opposed (on obvious grounds) to waiting until an emergency to give in.  And bear this in mind: my wife took the lead in all of these decisions. We talked things over, and I did a lot of the leg work, but the main decisions were really hers.  >But I for one am bothered by your continued >suggestions, especially to the misc.kidders pregnant for the first >time, that birth is dangerous, even fatal, and that all these >unpleasant things are far better than the risks you run just doing >it naturally.  I don't know of very many home birth advocates, even, that think that a first-time mother should have her baby at home.  >I'm no Luddite. I've had a section. I'm planning a hospital birth >this time. But for heaven's sake, not everyone needs that!  But people should bother to find out the relative risks.  My wife was unwilling to take any significant risks in order to have nice surroundings. In view of the intensity of the birth experience, I doubt surroundings have much importance anyway.  Somehow the values you're advocating seem all lopsided to me: taking risks, even if fairly small, of serious permanent harm in order to preserve something that is, after all, an esthetic consideration. --  Mark A. Fulk			University of Rochester Computer Science Department	fulk@cs.rochester.edu NA NA NA NA NA"
med," Lawrence Curcio <lc2b+@andrew.cmu.edu>"," Analgesics with Diuretics","I sometimes see OTC preparations for muscle aches/back aches that combine aspirin with a diuretic. The idea seems to be to reduce inflammation by getting rid of fluid. Does this actually work?   Thanks, -Larry C.  NA NA NA NA NA NA"
med," uabdpo.dpo.uab.edu!gila005 (Stephen Holland)"," Re: Lactose intolerance","In article <ng4.733990422@husc.harvard.edu>, ng4@husc11.harvard.edu (Ho Leung Ng) wrote: >  >  >    When I was a kid in primary school, I used to drink tons of milk without > any problems.  However, nowadays, I can hardly drink any at all without > experiencing some discomfort.  What could be responsible for the change? >  > Ho Leung Ng > ng4@husc.harvard.edu  You became older and your intestine normalized to the weaned state.  That is, lactose tolerance is an unusual state for adults of most mammals except for h. sapiens of northern European origin.  As a h. sapiens of  asian descent (assumption based on name) the loss of lactase is normal for you.    Steve Holland gila005@uabdpo.dpo.uab.edu NA NA NA NA NA"
med," bennett@kuhub.cc.ukans.edu"," Smoker's Lungs","How long does it take a smoker's lungs to clear of the tar after quitting?  Does your chances of getting lung cancer decrease quickly or does it take a considerable amount of time for that to happen? NA NA NA NA NA"
med," dougb@comm.mot.com (Doug Bank)"," Re: Blood Cholesterol -  Gabe Mirkin's advice","In article <1pka0uINNnqa@mojo.eng.umd.edu>, georgec@eng.umd.edu (George B. Clark) writes: |> Forget about total cholesterol when assessing health risk factors. |> Instead, use a relationship between LDL and HDL cholesterol: |>  |> If your LDL is       You need an HDL of at least |>  |>       90                 35 |>      100                 45 |>      110                 50 |>      120                 55 |>      130                 60 |>      140                 70  Gee, what do I do?  My LDL is only 50-60. (and my HDL is only 23-25) I must be risking something, but Is it the same risk as those with  very high LDL?  |> If your triglycerides are above 300, and your HDL is below 30, the |> drug of choice is gemfibrozil (Lopid) taken as a 600mg tablet |> thirty minutes before your morning and evening meals.  What about exercise and a low-fat diet?  What are the long-term  effects of this drug?  --  Doug Bank                       Private Systems Division dougb@ecs.comm.mot.com          Motorola Communications Sector dougb@nwu.edu                   Schaumburg, Illinois dougb@casbah.acns.nwu.edu       708-576-8207                     NA NA NA NA NA NA NA"
med," cliff@buster.stafford.tx.us (Cliff Tomplait)"," Re: sex problem.","ls8139@albnyvms.bitnet (larry silverberg) writes: >I have question that I hope is taken seriously, despite the subject content.  >Problem:  My long time girlfriend lately has not been initiating any sexual >	activity.  For the last four months things have changed dramatically. >       ... >	--to make this shorter-- Summary: nothing that I can think of has >				changed.... >       ... >She suggested we go to a sex counselor, but I really don't want to (just yet). >Any suggestions would be appreciated. >If you think you can help me, please contact me by e-mail for further info. >PLEASE serious replies only. >Thanks, Larry  Larry:  The subject content IS serious; as is the question.  On one hand you state that  things have changed dramatically  but, at the same time nothing you  can think of has changed .  Your girlfriend seems to want to see a counselor, but you don't.    I'd recommend that you examine your hesitation to see a counselor.  It's a very good environment to examine issues.    The fact of the matter is:  your girlfriend has a different perception than you.  The TWO of you need to address the issue in order to resolve it.  Please consider going to a counselor with your girlfriend.  What could it possibly hurt?  Cliff  (the paramedic)  NA NA NA NA NA"
med," uabdpo.dpo.uab.edu!gila005 (Stephen Holland)"," Re: Prednisone...what are the significant long term side effects?","> >I have been taking prednisone 5mg twice a day for a while to control > >Ulcerative Colitis. It seems like if I reduce the dosage, the problem > >becomes worse. At this point, i see myself taking prednisone for a long > >long time, perhaps for ever. I was wondering about long term major side > >effects, things like potential birth defects, arthritis etc. I have been > >putting on weight, my face looks puffed and round, experience sudden mood > >swings. As I understand, these are all short term.  I second what Spenser Aden said in reply.  Additionally, it is hard to say what type of response you ar3e having to prednisone since you did not say how long you have been on it.  Patients are generally kept on steroids for months before thinking about tapering.  Alternatives to daily dosing are  every other day dosing, in your case 20mg every other day would be a start. Another option if it is not possible to get you off prednisone is to start azathioprine.  Like Spenser said, you should generally be on another drug in addition to your prednisone, like asulfidine.  A lot of the specifics about options, though, depends on severity, location, and duration of  disease, as well as histology, so take advice off the net for what it is worth.    I treat patients with UC and Crohn's.  An educated patient is a good  patient, but let your doctor know where the advice came from so things can be put in context.  You should also be a member of the Crohn's and Colitis Foundation of America.  1-800-932-2423 office / 1-800-343-3637 info hotline.  Best of Luck to you.  Steve Holland. gila005@uabdpo.dpo.uab.edu NA NA NA NA NA"
med," nyeda@cnsvax.uwec.edu (David Nye)"," Re: Mental Illness","[reply to dabbott@augean.eleceng.adelaide.edu.AU (Derek Abbott)]   >Are there any case histories of severe mental illness cases remarkably >recovering after a tragic accident or trauma (eg. through nobody's fault, >being trapped in a fire and losing your legs, say)?   I know of a patient who was severely and chronically depressed and tried to kill himself with a bullet to the temple.  He essentially gave himself a prefrontal lobotomy, curing the depression.   David Nye (nyeda@cnsvax.uwec.edu).  Midelfort Clinic, Eau Claire WI This is patently absurd; but whoever wishes to become a philosopher must learn not to be frightened by absurdities. -- Bertrand Russell NA NA NA NA NA"
